date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2018-06-23,1908,FIFA World Cup,South Korea,Mexico,59.09,76.67,0.1863,0.5478,0.2659,0.86,1.67,1,2,0.93,1.86,1.17,1.3,1.05,2.1
2018-06-23,1908,FIFA World Cup,Germany,Sweden,89.87,74.41,0.583,0.1778,0.2391,1.93,0.96,2,1,1.66,1.13,2.31,0.67,2.1,1.05
2018-06-24,1908,FIFA World Cup,England,Panama,83.76,55.52,0.7574,0.0538,0.1889,2.04,0.36,6,1,3.06,1.02,1.35,0.89,6.3,1.05
2018-06-24,1908,FIFA World Cup,Japan,Senegal,73.52,66.96,0.4082,0.297,0.2948,1.36,1.11,2,2,0.82,0.78,1.04,2.02,2.1,2.1
2018-06-24,1908,FIFA World Cup,Poland,Colombia,72.37,79.03,0.2924,0.4205,0.2871,1.15,1.43,0,3,1.12,1.81,0.97,0.64,0.0,3.03
2018-06-25,1908,FIFA World Cup,Saudi Arabia,Egypt,48.84,61.61,0.2293,0.4862,0.2845,0.95,1.51,2,1,2.81,0.96,1.81,0.94,2.1,1.05
2018-06-25,1908,FIFA World Cup,Uruguay,Russia,79.7,72.58,0.3532,0.3523,0.2945,1.26,1.26,3,0,2.1,0.13,1.28,0.95,2.52,0.0
2018-06-25,1908,FIFA World Cup,Spain,Morocco,91.39,71.27,0.6651,0.1141,0.2208,1.99,0.68,2,2,3.03,1.04,3.33,0.48,2.1,2.1
2018-06-25,1908,FIFA World Cup,Iran,Portugal,66.14,83.75,0.1407,0.5793,0.28,0.6,1.53,1,1,1.43,1.24,0.88,1.02,1.05,1.05
2018-06-26,1908,FIFA World Cup,Denmark,France,73.31,86.49,0.2037,0.5402,0.2562,0.99,1.77,0,0,0.21,0.31,0.48,0.95,0.0,0.0
2018-06-26,1908,FIFA World Cup,Australia,Peru,63.58,71.65,0.2611,0.4544,0.2845,1.06,1.49,0,2,1.08,0.22,1.94,0.33,0.0,2.1
2018-06-26,1908,FIFA World Cup,Nigeria,Argentina,70.18,85.51,0.1741,0.5398,0.2861,0.73,1.5,1,2,1.23,0.89,0.59,1.05,1.05,2.1
2018-06-26,1908,FIFA World Cup,Iceland,Croatia,66.23,83.3,0.1701,0.5846,0.2452,0.89,1.86,1,2,2.1,0.82,1.81,0.62,1.05,2.1
2018-06-27,1908,FIFA World Cup,South Korea,Germany,59.32,89.93,0.0492,0.8145,0.1363,0.51,2.65,2,0,1.17,2.66,1.94,3.77,1.58,0.0
2018-06-27,1908,FIFA World Cup,Mexico,Sweden,76.62,74.34,0.3383,0.3662,0.2955,1.22,1.28,0,3,1.53,2.32,1.64,1.3,0.0,3.06
2018-06-27,1908,FIFA World Cup,Serbia,Brazil,73.59,92.77,0.1306,0.6358,0.2336,0.72,1.9,0,2,0.72,1.3,1.21,2.15,0.0,2.1
2018-06-27,1908,FIFA World Cup,Switzerland,Costa Rica,79.2,63.35,0.5687,0.172,0.2592,1.72,0.83,2,2,1.68,1.54,1.55,1.29,2.1,2.1
2018-06-28,1908,FIFA World Cup,Senegal,Colombia,67.87,80.49,0.2055,0.4931,0.3015,0.79,1.39,0,1,0.28,0.33,0.8,0.65,0.0,1.05
2018-06-28,1908,FIFA World Cup,Japan,Poland,72.99,70.53,0.362,0.3731,0.2649,1.51,1.53,0,1,0.59,1.56,1.06,1.08,0.0,1.05
2018-06-28,1908,FIFA World Cup,England,Belgium,85.11,86.36,0.3714,0.3596,0.2691,1.49,1.46,0,1,0.77,0.78,0.87,1.58,0.0,1.05
2018-06-28,1908,FIFA World Cup,Panama,Tunisia,54.72,60.35,0.3086,0.411,0.2805,1.24,1.47,1,2,0.45,2.49,0.85,1.9,1.05,2.1
2018-06-30,1908,FIFA World Cup,France,Argentina,85.83,85.28,0.545,0.455,0.0,1.28,1.12,4,3,2.11,0.71,0.7,0.81,4.2,3.15
2018-06-30,1908,FIFA World Cup,Uruguay,Portugal,81.85,82.66,0.4492,0.5508,0.0,1.08,1.27,2,1,0.7,1.07,0.54,2.13,2.1,1.05
2018-07-01,1908,FIFA World Cup,Spain,Russia,91.29,69.76,0.7825,0.2175,0.0,2.25,1.04,1,1,2.08,0.99,3.28,0.76,1.05,1.05
2018-07-01,1908,FIFA World Cup,Croatia,Denmark,82.23,73.04,0.6326,0.3674,0.0,1.43,0.96,1,1,2.59,0.67,1.17,1.58,1.05,1.05
2018-07-02,1908,FIFA World Cup,Brazil,Mexico,92.92,74.78,0.8219,0.1781,0.0,2.0,0.67,2,0,2.49,0.51,2.35,1.49,1.63,0.0
2018-07-02,1908,FIFA World Cup,Belgium,Japan,86.69,71.86,0.7553,0.2447,0.0,2.14,1.04,3,2,3.08,0.58,4.03,0.84,3.15,2.1
2018-07-03,1908,FIFA World Cup,Sweden,Switzerland,76.52,78.27,0.4841,0.5159,0.0,1.32,1.38,1,0,1.18,0.56,1.28,1.0,1.05,0.0
2018-07-03,1908,FIFA World Cup,Colombia,England,80.29,84.16,0.3969,0.6031,0.0,0.89,1.23,1,1,0.55,1.89,1.16,1.31,1.05,1.05
2018-07-06,1908,FIFA World Cup,Uruguay,France,82.16,86.97,0.3847,0.6153,0.0,1.08,1.49,0,2,0.45,0.45,1.14,1.41,0.0,2.1
2018-07-06,1908,FIFA World Cup,Brazil,Belgium,93.09,87.35,0.6419,0.3581,0.0,1.7,1.13,1,2,2.7,0.56,2.83,0.62,1.05,2.1
2018-07-07,1908,FIFA World Cup,Sweden,England,77.17,84.22,0.3843,0.6157,0.0,0.97,1.38,0,2,0.56,1.0,0.92,1.86,0.0,2.1
2018-07-07,1908,FIFA World Cup,Russia,Croatia,69.88,82.19,0.3876,0.6124,0.0,1.1,1.52,2,2,0.93,1.25,1.49,1.99,2.1,2.1
2018-07-10,1908,FIFA World Cup,France,Belgium,87.46,87.5,0.5219,0.4781,0.0,1.62,1.52,1,0,2.06,0.51,2.04,1.02,1.05,0.0
2018-07-11,1908,FIFA World Cup,Croatia,England,82.0,85.17,0.4321,0.5679,0.0,1.1,1.34,2,1,1.93,0.51,1.1,1.45,2.1,1.05
2018-07-14,1908,FIFA World Cup,Belgium,England,86.37,84.23,0.5099,0.4901,0.0,1.42,1.39,2,0,1.81,0.87,1.68,1.86,1.8,0.0
2018-07-15,1908,FIFA World Cup,France,Croatia,88.05,83.24,0.5934,0.4066,0.0,1.51,1.15,4,2,1.18,0.94,0.98,2.12,4.2,2.1
